index,id,text,emotion_manual,emotion_auto,emotion_swap_words,emotion_remove_spacing,emotion_letter_to_symbol,emotion_swap_letters,emotion_insert_punctuation,emotion_insert_duplicate_characters,emotion_delete_characters,emotion_change_case
0,1488301060334759939,just put a CD into my MacBook to burn it and my computer is literally trembling with reawakened recognition 😆,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
1,1488301057650438144,oh yeah tesla well what about a car that just logs into your tiktok acct and drives you to starbucks,joy,joy,joy,joy,anger,joy,joy,joy,anger,anger
2,1488301040160043008,"#100DaysOfCode Haven’t updated in a while due to not feeling well, just been reviewing some HTML/CSS &amp; JavaScript until I feel better to take on new concepts

Also been watching mock interviews  :)",sadness,sadness,sadness,sadness,joy,joy,joy,joy,joy,joy
3,1488301015514288131,"Finally managed to move my business email from google hosting to another host. So stressful and difficult. The whole internet is so hard! At least the metaverse is coming, I'm confident that will make everything easy and good, phew.",optimism,optimism,optimism,optimism,optimism,optimism,optimism,optimism,optimism,optimism
4,1488301011865419780,why do I have to take a thermodynamics class when some people are about to meet ateez life is so unfair,sadness,anger,anger,anger,anger,anger,anger,anger,anger,anger
5,1488300967443451906,"MetroPCS is cutting those on EBB program early. Don't use MetroPCS. 
#metropcs
#Metroabandonsebb",anger,anger,anger,anger,anger,anger,anger,anger,anger,anger
6,1488300951400243205,You are currently using Linux &lt;3.,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
7,1488300951182012417,"All the software I create will be free and open source, but that doesn't necessarily mean I won't write cryptic software for some of my projects 😈",joy,optimism,optimism,optimism,joy,optimism,joy,optimism,optimism,joy
8,1488300944353857546,"Ayo, does anyone knows a good game framework like XNA(that isn't java or python).
And no, not talking about game engines like Unity, Godot or Unreal",joy,joy,anger,anger,anger,anger,joy,anger,anger,anger
9,1488300940767727620,Just the thought of him running back and forth to windows round the perimeter of the academy of light has me buckled,joy,sadness,sadness,sadness,sadness,sadness,sadness,sadness,sadness,sadness
10,1488300933138296835,"Seen offers for my #3071 TTHUG IT IS NOT FOR SALE #holderforlife
Instead buy some cool ol merch (coming soon) let me take you to the metaverse baby!!
@TThugsNFT 🅿️
#Trillionairethugs #Decentraland #Metaverse #freeworld #technology @elonmusk 🐐 join",joy,joy,joy,joy,joy,joy,joy,joy,joy,joy
11,1488300932811141122,"Tech recruiters be like

""hiring a full-stack developer that can connect CSS to a Database""

#100DaysOfCode #CodeNewbies",joy,optimism,optimism,optimism,joy,optimism,joy,optimism,joy,optimism
